DATE,,NO,NO2,,PM2.5,O3
2009-01-01 00:00,NOx hr,0.146148,12.78,12.926148,6.75,18.80875
2009-01-01 01:00,NOx hr,0,10.026975,10.026975,6.25,20.992
2009-01-01 02:00,NOx hr,0,9.3294,9.3294,5.25,20.648625
2009-01-01 03:00,NOx hr,0,9.632925,9.632925,5.25,20.330875
2009-01-01 04:00,NOx hr,0,9.153675,9.153675,4.25,21.2175
2009-01-01 05:00,NOx hr,0,8.78625,8.78625,4,22.2015
2009-01-01 06:00,NOx hr,0,8.23245,8.23245,2.75,23.29825
2009-01-01 07:00,NOx hr,0,7.242,7.242,3.5,24.389875
2009-01-01 08:00,NOx hr,0.046152,6.097125,6.143277,2.5,25.5225
2009-01-01 09:00,NOx hr,0.130764,4.3452,4.475964,3.5,27.413625
2009-01-01 10:00,NOx hr,0.284604,3.9618,4.246404,3.25,28.30025
2009-01-01 11:00,NOx hr,0.561516,3.743475,4.304991,3.25,28.838375
2009-01-01 12:00,NOx hr,0.915348,3.935175,4.850523,3,29.028
2009-01-01 13:00,NOx hr,1.323024,4.7286,6.051624,3.75,28.91525
2009-01-01 14:00,NOx hr,1.592244,5.330325,6.922569,2.25,28.25925
2009-01-01 15:00,NOx hr,0.869196,5.916075,6.785271,3.75,27.70575
2009-01-01 16:00,NOx hr,0.669204,8.6904,9.359604,4.75,24.79475
2009-01-01 17:00,NOx hr,0.069228,10.942875,11.012103,5,22.698625
2009-01-01 18:00,NOx hr,0,11.3955,11.3955,5,23.108625
2009-01-01 19:00,NOx hr,0,12.0984,12.0984,5.25,23.057375
2009-01-01 20:00,NOx hr,0,14.638425,14.638425,9,20.705
2009-01-01 21:00,NOx hr,0.015384,15.336,15.351384,7.25,19.377625
2009-01-01 22:00,NOx hr,1.046112,21.6408,22.686912,8.25,12.67925
2009-01-01 23:00,NOx hr,3.23064,26.161725,29.392365,9.75,7.8105
2009-01-02 00:00,NOx hr,5.73054,32.7381,38.46864,13.5,2.77775
2009-01-02 01:00,NOx hr,7.299708,33.563475,40.863183,11.75,1.87575
2009-01-02 02:00,NOx hr,4.699812,28.33965,33.039462,14,5.324875
2009-01-02 03:00,NOx hr,0.092304,15.43185,15.524154,10,17.225125
2009-01-02 04:00,NOx hr,0.26922,14.55855,14.82777,6.5,15.728625
2009-01-02 05:00,NOx hr,0,13.0569,13.0569,7,16.1745
2009-01-02 06:00,NOx hr,0,12.465825,12.465825,6.5,18.547375
2009-01-02 07:00,NOx hr,7.976604,20.378775,28.355379,5.5,10.54725
2009-01-02 08:00,NOx hr,6.38436,10.7778,17.16216,12.5,18.286
2009-01-02 09:00,NOx hr,8.168904,10.21335,18.382254,12,19.71075
2009-01-02 10:00,NOx hr,6.715116,9.4785,16.193616,10.75,21.28925
2009-01-02 11:00,NOx hr,2.607588,9.100425,11.708013,10,22.247625
2009-01-02 12:00,NOx hr,5.30748,14.8674,20.17488,17,17.840125
2009-01-02 13:00,NOx hr,6.830496,14.606475,21.436971,16.5,19.326375
2009-01-02 14:00,NOx hr,3.49986,14.1645,17.66436,15,18.95225
2009-01-02 15:00,NOx hr,3.822924,16.853625,20.676549,13.5,16.36925
2009-01-02 16:00,NOx hr,1.399944,15.336,16.735944,14.5,16.75875
2009-01-02 17:00,NOx hr,2.292216,23.71755,26.009766,17.5,9.102
2009-01-02 18:00,NOx hr,1.876848,26.7102,28.587048,19.5,7.815625
2009-01-02 19:00,NOx hr,2.099916,28.504725,30.604641,18.75,7.477375
2009-01-02 20:00,NOx hr,1.792236,26.981775,28.774011,18.5,8.16925
2009-01-02 21:00,NOx hr,2.084532,27.972225,30.056757,20.75,6.52925
2009-01-02 22:00,NOx hr,6.592044,33.425025,40.017069,23.25,3.428625
2009-01-02 23:00,NOx hr,1.553784,28.057425,29.611209,19,8.635625
2009-01-03 00:00,NOx hr,1.453788,26.44395,27.897738,15.25,9.496625
2009-01-03 01:00,NOx hr,2.869116,26.896575,29.765691,18.5,8.7945
2009-01-03 02:00,NOx hr,0.323064,19.803675,20.126739,12,13.504375
2009-01-03 03:00,NOx hr,0,17.8281,17.8281,14.25,14.662625
2009-01-03 04:00,NOx hr,0,13.206,13.206,9.25,18.844625
2009-01-03 05:00,NOx hr,0,10.964175,10.964175,6.25,20.71525
2009-01-03 06:00,NOx hr,0,11.486025,11.486025,6.25,19.9875
2009-01-03 07:00,NOx hr,0,10.2879,10.2879,7.25,21.43275
2009-01-03 08:00,NOx hr,0,7.97685,7.97685,3,24.2105
2009-01-03 09:00,NOx hr,1.276872,7.076925,8.353797,4,26.2195
2009-01-03 10:00,NOx hr,0.938424,5.522025,6.460449,4,28.110625
2009-01-03 11:00,NOx hr,1.169184,5.03745,6.206634,2.25,29.50975
2009-01-03 12:00,NOx hr,1.123032,4.8564,5.979432,1.75,31.00625
2009-01-03 13:00,NOx hr,1.23072,5.42085,6.65157,3,31.8365
2009-01-03 14:00,NOx hr,0.930732,6.4326,7.363332,2.5,32.0415
2009-01-03 15:00,NOx hr,1.061496,7.950225,9.011721,3.5,30.488625
2009-01-03 16:00,NOx hr,0.123072,10.04295,10.166022,4,28.725625
2009-01-03 17:00,NOx hr,0,7.055625,7.055625,4.5,31.4265
2009-01-03 18:00,NOx hr,0,5.671125,5.671125,4,32.528375
2009-01-03 19:00,NOx hr,0,4.99485,4.99485,1,32.538625
2009-01-03 20:00,NOx hr,0,5.490075,5.490075,2.25,31.534125
2009-01-03 21:00,NOx hr,0,6.61365,6.61365,2.25,29.648125
2009-01-03 22:00,NOx hr,0,5.905425,5.905425,4.75,29.79675
2009-01-03 23:00,NOx hr,0,7.4976,7.4976,5.25,28.09525
2009-01-04 00:00,NOx hr,0,8.152575,8.152575,4.5,26.732
2009-01-04 01:00,NOx hr,0,6.650925,6.650925,3.25,28.32075
2009-01-04 02:00,NOx hr,0,6.3261,6.3261,4.5,28.52575
2009-01-04 03:00,NOx hr,0,6.331425,6.331425,4,28.161875
2009-01-04 04:00,NOx hr,0,6.682875,6.682875,3.5,27.475125
2009-01-04 05:00,NOx hr,0,6.1131,6.1131,2,27.628875
2009-01-04 06:00,NOx hr,0,6.5391,6.5391,2.75,27.065125
2009-01-04 07:00,NOx hr,0,7.790475,7.790475,4,25.625
2009-01-04 08:00,NOx hr,0,7.577475,7.577475,4.75,26.12725
2009-01-04 09:00,NOx hr,0.107688,7.833075,7.940763,3,25.794125
2009-01-04 10:00,NOx hr,1.30764,8.31765,9.62529,2.75,25.63525
2009-01-04 11:00,NOx hr,1.292256,7.151475,8.443731,6.5,26.788375
2009-01-04 12:00,NOx hr,0.946116,6.20895,7.155066,4.25,27.598125
2009-01-04 13:00,NOx hr,1.869156,7.1568,9.025956,5.5,26.767875
2009-01-04 14:00,NOx hr,1.761468,7.9662,9.727668,5.5,26.29125
2009-01-04 15:00,NOx hr,0.699972,9.260175,9.960147,4.75,25.1535
2009-01-04 16:00,NOx hr,2.176836,14.659725,16.836561,3,20.125875
2009-01-04 17:00,NOx hr,4.145988,25.0275,29.173488,6.75,10.742
2009-01-04 18:00,NOx hr,2.622972,27.5409,30.163872,7.75,8.112875
2009-01-04 19:00,NOx hr,3.76908,30.698625,34.467705,9.25,5.09425
2009-01-04 20:00,NOx hr,1.376868,21.347925,22.724793,10,13.27375
2009-01-04 21:00,NOx hr,0,17.7429,17.7429,7.5,16.251375
2009-01-04 22:00,NOx hr,0,13.381725,13.381725,9.25,19.844
2009-01-04 23:00,NOx hr,0,13.36575,13.36575,13.5,18.8395
2009-01-05 00:00,NOx hr,0.138456,19.878225,20.016681,6,12.192375
2009-01-05 01:00,NOx hr,0,18.531,18.531,12.25,13.186625
2009-01-05 02:00,NOx hr,0,23.67495,23.67495,13.75,7.749
2009-01-05 03:00,NOx hr,0.49998,22.785675,23.285655,11.75,8.43575
2009-01-05 04:00,NOx hr,6.468972,31.550625,38.019597,18.25,1.655375
2009-01-05 05:00,NOx hr,1.69224,22.572675,24.264915,18.75,8.61
2009-01-05 06:00,NOx hr,3.453708,16.02825,19.481958,12.25,15.58
2009-01-05 07:00,NOx hr,4.57674,17.9133,22.49004,12.5,14.38075
2009-01-05 08:00,NOx hr,8.34582,21.4491,29.79492,10.5,11.01875
2009-01-05 09:00,NOx hr,7.61508,19.32975,26.94483,12,12.704875
2009-01-05 10:00,NOx hr,10.853412,16.9761,27.829512,12.5,16.384625
2009-01-05 11:00,NOx hr,10.391892,13.74915,24.141042,10.25,20.248875
2009-01-05 12:00,NOx hr,4.15368,9.2442,13.39788,7.25,25.4815
2009-01-05 13:00,NOx hr,,,0,7.25,
2009-01-05 14:00,NOx hr,2.607588,9.324075,11.931663,4.5,28.58725
2009-01-05 15:00,NOx hr,2.030688,10.98015,13.010838,4.5,26.33225
2009-01-05 16:00,NOx hr,2.376828,16.608675,18.985503,5,20.38725
2009-01-05 17:00,NOx hr,2.222988,15.85785,18.080838,7.25,20.187375
2009-01-05 18:00,NOx hr,0.699972,14.808825,15.508797,8.25,21.074
2009-01-05 19:00,NOx hr,0.492288,13.47225,13.964538,7,21.9555
2009-01-05 20:00,NOx hr,0,11.0121,11.0121,5.5,25.174
2009-01-05 21:00,NOx hr,0,10.3305,10.3305,5.5,26.081125
2009-01-05 22:00,NOx hr,2.930652,14.531925,17.462577,7,21.88375
2009-01-05 23:00,NOx hr,0.899964,14.1219,15.021864,4.5,22.0785
2009-01-06 00:00,NOx hr,0,11.42745,11.42745,3,23.118875
2009-01-06 01:00,NOx hr,0,10.0536,10.0536,3,24.272
2009-01-06 02:00,NOx hr,0.80766,11.21445,12.02211,5.5,23.200875
2009-01-06 03:00,NOx hr,0,10.452975,10.452975,4.75,23.21625
2009-01-06 04:00,NOx hr,0,11.422125,11.422125,5.25,22.186125
2009-01-06 05:00,NOx hr,1.446096,14.457375,15.903471,3.75,18.7985
2009-01-06 06:00,NOx hr,5.415168,23.05725,28.472418,6.5,11.444125
2009-01-06 07:00,NOx hr,10.007292,27.354525,37.361817,10.5,7.723375
2009-01-06 08:00,NOx hr,13.791756,24.905025,38.696781,11.5,11.105875
2009-01-06 09:00,NOx hr,16.083972,21.1509,37.234872,10,14.795875
2009-01-06 10:00,NOx hr,12.953328,17.087925,30.041253,12.5,18.660125
2009-01-06 11:00,NOx hr,12.53796,16.70985,29.24781,11.75,20.033625
2009-01-06 12:00,NOx hr,9.468852,14.21775,23.686602,10.5,22.21175
2009-01-06 13:00,NOx hr,6.7305,12.7374,19.4679,8.75,24.728125
2009-01-06 14:00,NOx hr,6.930492,14.180475,21.110967,11.75,23.703125
2009-01-06 15:00,NOx hr,8.753496,17.141175,25.894671,9.25,20.71525
2009-01-06 16:00,NOx hr,16.530108,29.1384,45.668508,10.25,9.650375
2009-01-06 17:00,NOx hr,30.237252,37.067325,67.304577,12.75,2.475375
2009-01-06 18:00,NOx hr,38.106168,38.73405,76.840218,15.75,1.440125
2009-01-06 19:00,NOx hr,77.596896,41.146275,118.743171,25.5,2.557375
2009-01-06 20:00,NOx hr,79.196832,42.147375,121.344207,33,2.577875
2009-01-06 21:00,NOx hr,42.059856,38.20155,80.261406,25.25,1.378625
2009-01-06 22:00,NOx hr,26.122032,33.989475,60.111507,24.5,1.8245
2009-01-06 23:00,NOx hr,9.584232,26.790075,36.374307,23.25,5.242875
2009-01-07 00:00,NOx hr,5.661312,17.41275,23.074062,20.5,13.658125
2009-01-07 01:00,NOx hr,3.522936,11.6937,15.216636,11.75,20.556375
2009-01-07 02:00,NOx hr,3.299868,8.74365,12.043518,9.25,24.95875
2009-01-07 03:00,NOx hr,2.976804,8.450775,11.427579,4.75,25.004875
2009-01-07 04:00,NOx hr,2.946036,7.5402,10.486236,4,25.871
2009-01-07 05:00,NOx hr,1.853772,8.0088,9.862572,0.75,25.01
2009-01-07 06:00,NOx hr,4.207524,11.368875,15.576399,2,22.591
2009-01-07 07:00,NOx hr,8.11506,16.076175,24.191235,6.75,18.567875
2009-01-07 08:00,NOx hr,11.245704,16.800375,28.046079,4,18.29625
2009-01-07 09:00,NOx hr,9.130404,14.968575,24.098979,0,19.982375
2009-01-07 10:00,NOx hr,7.299708,12.83325,20.132958,4.5,22.052875
2009-01-07 11:00,NOx hr,8.468892,13.999425,22.468317,10.25,20.992
2009-01-07 12:00,NOx hr,7.791996,12.5244,20.316396,15.5,22.25275
2009-01-07 13:00,NOx hr,10.007292,13.5894,23.596692,2.75,21.755625
2009-01-07 14:00,NOx hr,5.822844,12.348675,18.171519,6,23.036875
2009-01-07 15:00,NOx hr,4.130604,8.78625,12.916854,5.75,
2009-01-07 16:00,NOx hr,2.792196,12.6735,15.465696,6.25,23.85175
2009-01-07 17:00,NOx hr,4.215216,13.0995,17.314716,4,23.487875
2009-01-07 18:00,NOx hr,1.399944,12.36465,13.764594,6.25,23.744125
